County,Total Air Releases
"Duplin, NC",766
"Durham, NC",22153.38
"Dutchess, NY",25006.3
"Duval, FL",2922833.7
"Dyer, TN",463526.5863
"Eagle, CO",0
"Early, GA",768865
"East Baton Rouge, LA",2894913.111
"Eastern, AS",4.8
"Eastland, TX",19138
"Eaton, MI",80569.46
"Eau Claire, WI",30001.9253
"Ector, TX",328302.33
"Eddy, NM",104026.46
"Edgar, IL",68792
"Edgecombe, NC",135827.6301
"Effingham, GA",237056.93
"Effingham, IL",43110
"El Dorado, CA",0
"El Paso, CO",113223.9
"El Paso, TX",445341.56
"Elk, PA",199290.81
"Elkhart, IN",2574051.5
"Elko, NV",20498.76
"Ellis, KS",29.8
"Ellis, TX",228914.9071
"Ellsworth, KS",0
"Elmore, AL",21183.2
"Elmore, ID",570
"Emery, UT",492260.8
"Emmet, IA",62155
"Emmet, MI",0
"Erath, TX",33986.33
"Erie, NY",1208285.1
"Erie, OH",24093.53
"Erie, PA",218088.738
"Escambia, AL",1783942.9
"Escambia, FL",10744629.57
"Essex, MA",233522.9225
"Essex, NJ",62869.88811
"Essex, NY",394190
"Essex, VT",3.862
"Etowah, AL",239545.24
"Eureka, NV",10323.12
"Evangeline, LA",126575.29
"Evans, GA",3
"Fairbanks North Star, AK",92233.14669
"Fairfax City, VA",1279
"Fairfax, VA",5527
"Fairfield, CT",393688.263
"Fairfield, OH",20846.98
"Fairfield, SC",34274.54
"Fannin, TX",546
"Faulkner, AR",79178
"Fauquier, VA",13480
"Fayette, AL",28700.2
"Fayette, GA",9004.2
"Fayette, IL",1
"Fayette, IN",6524
"Fayette, KY",27196
"Fayette, OH",145137
"Fayette, PA",310.012
"Fayette, TN",70378
"Fayette, TX",403579.89
"Fayette, WV",334600
"Fillmore, MN",45494.39
"Fillmore, NE",15
"Finney, KS",117373
"Fisher, TX",0.5
"Flagler, FL",139661
"Flathead, MT",901457.4
"Florence, SC",2865317.97
"Floyd, GA",6089540.8
"Floyd, IA",54909.06757
"Floyd, IN",2720035.1
"Floyd, KY",526
"Fluvanna, VA",870169
"Fond du Lac, WI",71622.18624
"Ford, IL",337389
"Ford, KS",260250
"Forrest, MS",129042.343
"Forsyth, GA",200
"Forsyth, NC",510125.9372
"Fort Bend, TX",786621.0122
"Fountain, IN",481.86
"Franklin, AL",3143
"Franklin, AR",2575.9
"Franklin, GA",10232
"Franklin, IA",70503
"Franklin, IL",545390
"Franklin, IN",3.4
"Franklin, KS",10246
"Franklin, KY",13906
"Franklin, LA",60
"Franklin, MA",1413
"Franklin, ME",1233219.5
"Franklin, MO",688025.9
"Franklin, NC",40584
"Franklin, NY",0
"Franklin, OH",318743.8
"Franklin, PA",76682
"Franklin, TN",118678
"Franklin, VA",0
"Franklin, VT",0
"Franklin, WA",5215.4844
"Frederick, MD",368.716
"Frederick, VA",488417.47
"Fredericksburg City, VA",500
"Freeborn, MN",7970.1005
"Freestone, TX",1288472.93
"Fremont, CO",48038.0266
"Fremont, IA",0
"Fresno, CA",31981.58441
"Fulton, GA",276272.3808
"Fulton, IL",15193.4
"Fulton, IN",54060
"Fulton, KY",1083.05
"Fulton, NY",35202
"Fulton, OH",9938.25
"Fulton, PA",0.4
"Gadsden, FL",34.6
"Gage, NE",17460
"Gaines, TX",186
"Galax City, VA",0
"Gallatin, MT",2371
"Gallia, OH",3150838.59
"Galveston, TX",1587771.02
"Garfield, CO",0
"Garfield, OK",9513.6
"Garland, AR",11855.5
"Garrard, KY",4859
