CustID	TripID	DatePch	SaleAmt	SalesQty
682596	242	2005-11-14	2669	1
682596	320	2006-03-01	4749	1
682606	68	2004-01-24	1588	2
682606	79	2004-11-19	2759	4
682606	288	2005-05-18	2027	4
682606	180	2005-05-23	3543	6
682765	57	2003-08-26	8044	2
682765	190	2004-09-23	9738	3
682765	321	2005-07-20	5698	1
682895	24	2003-06-05	2679	1
682895	142	2004-07-13	4909	1
683128	274	2006-02-16	1719	1
683128	472	2006-04-06	8171	1
683134	58	2003-09-12	7778	3
683134	321	2005-07-25	5698	2
683174	515	2006-05-04	7349	1
683288	62	2003-09-05	10918	5
683295	143	2004-04-26	9375	6
683295	269	2005-07-07	3919	1
683295	279	2005-07-19	4559	1
683295	488	2006-04-28	5349	2
683328	36	2003-04-30	4959	1
683328	283	2005-11-05	4659	1
683330	143	2004-05-24	9787	3
683588	31	2003-11-10	2098	2
683588	418	2005-09-27	8368	1
683852	56	2003-08-27	8419	1
683852	321	2005-08-08	5698	4
683852	305	2005-08-08	20	1
684296	143	2004-08-17	9626	7
684296	288	2005-07-25	2127	2
684296	421	2005-10-04	2069	1
684399	21	2003-10-31	3779	4
684399	290	2005-07-05	2327	3
684399	481	2006-05-10	1848	1
684675	21	2004-06-02	3779	1
684675	189	2004-10-14	6174	1
684675	492	2006-05-08	3578	1
684729	61	2003-08-27	11719	1
684729	418	2005-09-28	4369	1
684729	505	2006-05-04	7198	1
684896	147	2004-05-07	2673	3
684896	118	2004-06-30	2188	4
684896	284	2005-05-19	3749	4
684896	474	2006-04-07	2019	2
685008	18	2003-05-13	1248	1
685008	66	2003-09-19	1238	3
685008	170	2004-05-19	1537	3
685008	181	2004-08-10	4552	9
685008	291	2005-09-23	2127	2
685008	403	2005-10-31	1829	1
685029	116	2004-06-15	2324	1
685029	147	2004-11-15	2759	2
685029	272	2005-04-15	2219	2
685139	3	2002-08-30	2254	1
685139	68	2004-05-11	1788	3
685139	185	2004-11-23	2174	7
685139	412	2005-11-17	2169	1
685282	29	2003-10-15	2653	3
685282	98	2004-07-14	1652	9
685282	248	2005-02-08	2214	4
685282	391	2005-08-01	2349	2
685282	431	2006-02-12	2219	1
685350	40	2003-02-27	2439	5
685350	179	2004-07-26	6457	3
685350	179	2004-07-26	79	1
685350	283	2005-09-20	3763	1
685399	58	2003-08-22	9118	3
685399	321	2005-08-11	5698	1
685480	39	2003-03-25	2543	5
685480	6	2003-10-31	733	3
685480	21	2004-02-12	4427	6
685480	74	2004-07-27	4867	6
685480	185	2005-07-18	928	1
685480	284	2005-07-18	3749	1
685544	21	2003-06-05	3848	2
685544	178	2005-05-02	4631	10
685716	24	2003-06-25	2679	1
685716	142	2004-07-13	5126	4
685716	228	2005-07-08	1969	1
685716	273	2006-02-12	1469	1
685716	313	2006-04-26	2249	2
685716	487	2006-05-09	4349	2
685778	24	2004-05-14	5297	2
685778	118	2004-07-13	2088	3
685778	93	2004-11-15	4649	1
685873	15	2002-07-24	1832	3
685873	96	2003-12-29	1324	1
685873	75	2004-01-29	3418	2
685873	147	2004-10-01	2859	2
685873	242	2005-02-08	3884	2
685873	288	2005-05-18	1628	1
685873	321	2005-08-01	5698	1
685873	454	2006-02-13	3919	1
685873	479	2006-05-10	4798	1
685873	525	2006-05-18	1808	1
685995	24	2004-01-07	2668	2
685995	94	2004-11-16	1572	2
685995	284	2005-10-26	3048	2
686076	17	2003-05-14	3293	2
686076	21	2003-05-15	3718	2
686076	170	2004-07-14	1488	1
686076	179	2005-05-11	3893	4
686076	439	2006-02-08	2319	1
686282	68	2003-11-10	1683	5
686282	185	2004-11-19	1778	1
686282	271	2005-11-18	1719	1
686282	488	2006-04-28	5349	1
686380	56	2003-12-17	8618	2
686418	60	2003-10-09	6519	2
686418	211	2005-09-27	2349	2
686624	14	2003-09-05	1454	1
686624	129	2004-01-31	1299	2
686624	153	2005-02-11	1998	2
686624	298	2005-07-29	60	1
686624	321	2005-08-04	5698	1
686666	3	2002-08-30	2254	1
686666	76	2004-01-30	4317	3
686666	271	2005-05-25	2219	1
686666	480	2006-05-01	4798	1
687102	17	2002-08-30	3054	1
687102	62	2003-08-27	10719	1
687102	36	2004-01-30	4679	2
687102	143	2004-07-20	8309	1
687102	285	2005-11-14	2349	1
687102	279	2006-03-14	4559	1
687102	467	2006-03-14	3878	1
687102	283	2006-03-27	4559	1
687206	220	2004-12-02	5574	1
687206	451	2006-05-03	5698	1
687462	39	2003-01-24	2454	1
687462	149	2004-05-07	2598	5
687462	213	2004-12-13	2299	2
687642	77	2004-05-11	2749	1
687642	288	2005-06-22	2127	2
687642	506	2006-05-10	2998	1
687774	18	2003-05-29	1258	1
687774	23	2003-05-29	2418	5
687774	8	2003-06-12	1054	1
687774	121	2004-01-28	1974	1
687774	170	2005-03-15	963	1
687774	288	2005-05-17	2027	2
687774	525	2006-05-18	1808	1
687847	24	2003-12-10	3472	5
687847	139	2004-07-13	8076	5
687847	209	2004-11-22	1944	3
687847	421	2005-09-28	2069	1
687952	56	2003-08-26	8778	3
687952	321	2005-07-19	5698	1
688082	17	2003-11-05	3054	1
688082	119	2004-08-04	2424	1
688082	144	2004-08-09	6788	2
688082	279	2006-05-12	3647	3
688252	58	2003-09-11	7419	1
688324	30	2003-05-15	1979	1
688324	148	2004-10-02	2873	3
688324	181	2005-04-14	4302	6
688324	276	2005-04-18	3499	1
688324	280	2005-04-18	3499	1
688324	301	2005-07-22	349	1
688324	290	2005-08-08	2327	2
688324	208	2005-09-20	1804	3
688324	244	2005-10-26	1569	2
688324	412	2006-02-07	2169	1
688324	466	2006-03-27	3378	1
688324	487	2006-04-14	4349	1
688324	309	2006-05-10	2577	1
688576	62	2003-10-09	10719	1
688576	404	2006-03-06	4557	2
688603	116	2004-04-15	2363	3
688603	147	2004-11-16	1709	1
688603	179	2005-05-02	5702	8
688859	3	2003-03-14	2254	1
688859	179	2004-12-14	5702	3
688859	281	2005-11-15	2859	1
688990	36	2003-04-25	5159	3
688990	63	2003-10-16	10361	8
688990	143	2004-04-26	5358	2
688990	116	2004-08-23	2304	8
688990	191	2004-09-17	11196	5
688990	321	2005-07-25	7697	2
688990	428	2005-11-02	8309	1
688990	283	2006-02-24	2859	1
688990	467	2006-03-14	3878	1
689426	19	2003-06-30	1398	1
689426	114	2004-02-25	6824	2
689426	321	2005-08-11	5698	1
689528	40	2003-01-30	2354	1
689528	74	2004-04-16	3549	1
689528	431	2006-02-06	2319	2
689569	18	2003-09-03	1298	1
689569	168	2004-05-18	1788	2
689569	213	2004-10-20	1674	15
689569	421	2005-09-29	2069	1
689569	246	2005-11-13	1669	2
689569	508	2006-05-05	3098	2
689649	144	2004-04-26	5709	1
689649	283	2006-05-05	3059	2
690083	36	2003-06-06	4848	2
690083	134	2004-07-20	2924	1
690083	284	2005-06-21	3749	1
690505	62	2003-10-09	10719	1
690515	4	2003-08-19	2154	1
690515	116	2004-01-28	4003	4
690515	78	2005-02-21	4948	1
690515	322	2005-08-31	5409	1
690515	411	2006-02-21	2269	1
690868	430	2006-02-10	7671	1
691114	17	2003-11-05	3054	1
691114	119	2004-08-04	2424	1
691114	144	2004-08-09	6788	2
691114	279	2006-05-12	3647	3
691267	54	2003-02-20	3174	2
691267	515	2006-05-09	6549	1
691382	66	2004-02-09	1488	2
691382	220	2004-11-30	5574	1
691382	284	2005-12-14	2948	2
691382	488	2006-04-24	5349	1
691466	44	2003-01-31	1854	1
691466	142	2004-04-26	5138	3
691466	403	2005-11-30	1829	2
691536	29	2003-10-15	2653	3
691536	98	2004-07-14	1652	9
691536	248	2005-02-08	2214	4
691536	391	2005-08-01	2349	2
691536	431	2006-02-12	2219	1
691653	188	2004-10-07	5574	1
691653	86	2005-04-04	1249	1
691653	284	2006-01-10	2948	2
691653	430	2006-03-14	7671	1
691716	58	2003-12-05	7419	2
691927	54	2003-01-14	3054	1
691927	270	2006-02-17	2319	1
691927	282	2006-05-01	2259	1
691931	74	2004-04-19	5048	2
691931	179	2005-05-25	6032	3
692069	42	2003-09-29	2054	1
692069	142	2004-04-26	5138	2
692069	145	2005-02-14	2359	1
692069	421	2005-09-30	2069	1
692199	129	2003-11-07	1643	4
692199	100	2004-12-03	937	1
692199	179	2005-06-02	3993	3
692199	308	2005-08-12	3649	1
692377	5	2002-08-30	2507	3
692377	119	2004-01-28	1813	3
692377	23	2004-02-09	3496	6
692377	142	2004-07-13	6696	4
692377	66	2004-07-14	1238	1
692377	100	2004-11-14	1049	1
692377	284	2005-07-08	3649	1
692405	145	2005-03-04	1809	1
692405	437	2006-04-17	8821	1
692609	17	2002-08-30	1455	1
692609	62	2003-08-27	10719	1
692609	36	2004-01-30	4679	2
692609	143	2004-07-20	8309	1
692609	285	2005-11-14	2349	1
692609	279	2006-03-14	4559	1
692609	467	2006-03-14	3878	1
692609	283	2006-03-27	4559	1
692837	191	2004-10-08	11052	4
693145	39	2003-02-21	2404	4
693145	94	2004-08-30	1539	2
693145	185	2005-02-08	1628	1
693145	417	2005-11-17	3469	1
693516	5	2003-01-30	1954	1
693516	181	2004-08-11	6131	4
693516	322	2005-09-20	5409	1
693516	228	2005-10-26	1544	1
693516	412	2006-02-07	2169	1
693516	487	2006-04-14	4349	1
693599	123	2004-01-15	1693	4
693599	142	2004-06-29	5047	3
693599	79	2005-04-27	1499	1
693599	421	2005-10-13	2069	1
693604	4	2003-10-08	2154	1
693604	116	2004-01-31	2074	2
693604	166	2004-11-14	3459	1
694527	3	2003-01-08	2354	1
694527	95	2004-01-30	2113	2
694527	76	2004-01-30	2918	2
694527	271	2005-05-19	2319	1
694527	480	2006-05-01	4798	1
694687	39	2003-02-26	2454	1
694687	179	2005-06-06	5102	3
694687	313	2005-08-29	2349	2
694989	209	2005-01-05	1949	3
694989	321	2005-08-04	5698	1
694989	188	2005-11-11	2574	1
694989	466	2006-03-14	3378	1
695144	55	2003-04-25	5653	1
695144	277	2006-05-15	4459	1
695182	62	2003-09-05	12321	6
695290	37	2003-09-17	2669	2
695290	116	2004-04-17	2074	1
695290	147	2004-04-21	2634	2
695290	185	2004-11-27	2126	4
695290	272	2005-10-24	2019	1
695405	39	2003-01-08	2504	4
695405	144	2004-04-26	6188	2
695405	321	2005-07-27	5698	1
695888	58	2003-08-29	7778	4
695888	139	2005-02-07	7697	3
695888	247	2005-07-07	2269	2
696411	37	2003-04-10	2654	1
696411	142	2004-04-28	4909	1
696572	37	2003-09-17	2669	2
696572	116	2004-04-17	2074	1
696572	147	2004-04-21	2634	2
696572	185	2004-11-27	2126	4
696572	272	2005-10-24	2019	1
696903	58	2003-11-13	7419	2
697114	56	2003-10-23	10477	7
697114	320	2005-08-10	4749	1
697425	100	2004-12-06	937	1
697425	170	2005-03-24	1012	2
697425	321	2005-08-02	5698	1
698462	170	2004-07-15	1587	2
698462	288	2005-05-17	2027	2
698462	179	2005-05-31	3593	5
698795	4	2003-12-04	2154	1
698795	115	2004-02-09	2174	1
698795	185	2005-07-20	928	1
698795	417	2005-11-17	3469	1
698939	144	2004-07-16	6388	2
698939	270	2005-10-21	3019	1
698956	36	2003-11-26	5491	6
698956	183	2004-07-16	8448	3
698956	283	2005-09-22	4229	1
698956	279	2005-09-22	4229	1
699070	45	2003-12-05	1904	1
699070	156	2004-04-27	2084	1
699070	258	2005-10-25	1719	1
699070	414	2006-05-17	2069	1
699139	59	2003-11-26	8977	10
699175	5	2003-12-09	2253	2
699175	144	2004-07-09	5857	3
699175	118	2004-07-16	2149	3
699175	169	2005-01-14	1812	2
699175	321	2005-08-03	5698	1
699175	186	2005-08-18	928	1
699175	409	2005-11-17	2169	1
699210	36	2003-11-26	5418	4
699210	183	2004-07-16	8448	3
699210	283	2005-09-22	4229	1
699210	279	2005-09-22	4229	1
699281	5	2003-12-09	953	2
699281	144	2004-07-09	5857	3
699281	118	2004-07-16	2149	3
699281	169	2005-01-14	1812	2
699281	186	2005-08-18	1628	1
699281	409	2005-11-17	2169	1
699285	6	2003-11-10	754	1
699285	188	2004-10-18	5574	2
699285	492	2006-05-08	3578	1
699327	144	2004-04-27	6937	3
699327	180	2005-06-03	3643	3
699505	59	2003-11-26	8977	10
699536	39	2003-09-30	2504	4
699536	148	2004-06-28	2648	3
699536	278	2005-04-18	3359	1
699536	398	2006-03-16	2328	2
699573	18	2004-02-27	1098	1
699573	168	2004-05-18	1886	3
699573	288	2005-05-16	2127	2
699573	487	2006-05-10	4249	2
699662	37	2003-06-06	2654	1
699662	168	2004-04-23	1902	2
699662	97	2004-12-16	968	1
699662	282	2005-08-05	3359	1
699680	137	2004-05-15	12409	1
699680	283	2005-07-14	4229	1
699802	144	2004-06-03	5938	2
699802	208	2005-09-19	1469	2
699802	412	2005-11-14	2169	1
699955	139	2004-04-30	7876	4
699958	74	2004-01-23	3649	1
699958	208	2005-05-23	2574	2
699958	272	2005-11-13	2069	1
699958	480	2006-05-01	4898	1
699966	21	2004-04-27	4534	3
699966	185	2005-04-21	2026	3
699966	417	2005-11-17	3469	1
700469	55	2003-08-14	2954	1
700469	149	2004-04-22	2544	2
700469	272	2005-04-27	2219	1
700482	505	2006-05-11	7198	1
700553	55	2003-06-05	2954	1
700553	144	2004-04-28	5709	1
700772	54	2003-08-29	3409	1
700772	21	2004-04-22	2089	4
700772	166	2004-05-10	3384	4
700772	417	2005-10-03	3569	2
700829	37	2003-06-06	2654	1
700829	168	2004-04-23	1902	2
700829	97	2004-12-16	968	1
700829	282	2005-08-05	3359	1
700863	66	2004-05-10	1488	2
700863	186	2005-08-17	1177	2
700863	285	2005-11-18	2518	2
700863	487	2006-04-20	4349	1
700994	22	2003-12-04	3078	2
700994	153	2004-11-19	2439	1
700994	419	2005-09-28	3769	1
701056	6	2002-07-24	1354	1
701056	50	2002-10-31	1354	1
701056	33	2003-05-08	1879	1
701056	130	2004-01-28	1174	2
701056	87	2004-04-27	1849	2
701056	200	2005-02-02	1574	3
701056	258	2005-04-19	1319	2
701056	317	2005-08-19	1649	1
701056	246	2005-11-09	1669	1
701056	433	2006-02-13	1419	1
701246	37	2003-05-20	2799	2
701246	58	2003-08-22	9143	4
701246	139	2004-04-28	6538	2
701246	179	2004-07-27	6881	4
701246	287	2005-05-19	2328	1
701246	429	2005-09-20	5959	1
701246	313	2005-09-20	1699	1
701246	467	2006-03-20	3878	1
701652	20	2004-01-21	3879	1
701652	307	2006-01-27	3649	1
701652	437	2006-02-11	8821	1
701654	56	2003-11-10	10014	7
701698	75	2004-05-14	4748	3
701698	269	2006-01-05	2669	2
701698	487	2006-04-28	4349	1
701837	139	2005-03-31	8076	4
701837	243	2005-11-14	2119	1
702331	3	2002-08-30	2254	1
702331	40	2003-01-30	2433	4
702331	22	2003-04-29	3822	8
702331	95	2004-02-09	2113	3
702331	77	2004-04-15	4217	3
702331	271	2005-05-18	2219	1
702331	321	2005-08-01	5698	2
702331	480	2006-05-02	4798	2
702380	220	2004-12-13	5574	1
702380	321	2005-08-04	5698	2
702831	62	2004-02-25	12019	1
703026	24	2004-01-06	3073	3
703026	144	2004-08-23	6109	1
703026	279	2005-07-07	4559	2
